case,workload,candidate_id,Pbar,R,weights,seed,phase,p90,Pj,Bloom_Pj,evidence_counts,evidence_qualified_pass,objective,source_artifact,source_observation_index,source_sha256
c005,W2-short-qos5_4.5_4_3.5,b4-target-0-003,0.473702073097229,0.10366622393131254,"[0.26254186034202576, 0.2516586482524872, 0.2489594668149948, 0.23684002459049225]",1768413673,original_search,0.266,"[0.0, 0.001958293638191999, 0.021651327550817667, 0.07059897129583537]",0.07059897129583537,"[21479, 18895, 15104, 12055]",True,87.79857527659767,runs/vnext_originals/w2_development/cases/c005/ERT/vnext_state.json,27,590b8223dccdb715d966056beef0f49e6fb3784840fbc8042097df88603b8bb9
c005,W2-short-qos5_4.5_4_3.5,b4-target-0-003,0.473702073097229,0.10366622393131254,"[0.26254186034202576, 0.2516586482524872, 0.2489594668149948, 0.23684002459049225]",2043325904,fresh_search_repeat,0.257,"[0.0, 0.06744306418219459, 0.022764983075595713, 0.04995836802664444]",0.04995836802664444,"[21628, 19321, 15068, 12011]",True,88.54388993835744,runs/vnext_originals/late_candidate_four_repeats/results.json,1,53a24a3d0df812c8d45b358fa64dc82d9f638c787327bf36084ed462e7a06651
c005,W2-short-qos5_4.5_4_3.5,b4-target-0-003,0.473702073097229,0.10366622393131254,"[0.26254186034202576, 0.2516586482524872, 0.2489594668149948, 0.23684002459049225]",2381098110,fresh_confirmation,0.28,"[0.0, 0.0, 0.00026741542987018807, 0.27013871988318316]",0.27013871988318316,"[21138, 19184, 14959, 12328]",False,91.83407321824811,runs/vnext_originals/late_passing_candidates_six_confirmations/results.json,0,a9519c06743f09e3a811f69a5e3fb8fce01b22056a0b1af0f4c20b1b285cb49d
c005,W2-short-qos5_4.5_4_3.5,b4-target-0-003,0.473702073097229,0.10366622393131254,"[0.26254186034202576, 0.2516586482524872, 0.2489594668149948, 0.23684002459049225]",1841060571,fresh_confirmation,0.285,"[0.0, 0.06880049400504296, 0.0, 0.011801861702127714]",0.011801861702127714,"[21437, 19434, 14786, 12033]",True,87.67387938485652,runs/vnext_originals/late_passing_candidates_six_confirmations/results.json,1,a9519c06743f09e3a811f69a5e3fb8fce01b22056a0b1af0f4c20b1b285cb49d
c005,W2-short-qos5_4.5_4_3.5,b4-target-0-003,0.473702073097229,0.10366622393131254,"[0.26254186034202576, 0.2516586482524872, 0.2489594668149948, 0.23684002459049225]",2495920665,fresh_confirmation,0.275,"[0.0, 0.0, 0.002125116217293055, 0.32371535094828985]",0.32371535094828985,"[21521, 19046, 15059, 12339]",False,92.97213264199843,runs/vnext_originals/late_passing_candidates_six_confirmations/results.json,2,a9519c06743f09e3a811f69a5e3fb8fce01b22056a0b1af0f4c20b1b285cb49d
c007,W2-short-qos5555,b4-target-0-003,0.47039860486984253,0.06610638229846953,"[0.26837557554244995, 0.25136417150497437, 0.24770696461200714, 0.23255328834056854]",3514694477,original_search,0.293,"[0.0, 0.0, 0.0, 0.03238664673642255]",0.03238664673642255,"[21416, 19135, 14769, 12043]",True,90.0297579097633,runs/vnext_originals/w2_development/cases/c007/ERT/vnext_state.json,25,c6c799f36aea93a0faf4ca761d37fba2f207e7e3ac69f7f3cdde0fed52cb3198
c007,W2-short-qos5555,b4-target-0-003,0.47039860486984253,0.06610638229846953,"[0.26837557554244995, 0.25136417150497437, 0.24770696461200714, 0.23255328834056854]",709520479,fresh_search_repeat,0.269,"[0.0, 0.0, 0.0, 0.044298537234042534]",0.044298537234042534,"[21523, 19122, 14779, 12033]",True,90.0551444516486,runs/vnext_originals/late_candidate_four_repeats/results.json,3,53a24a3d0df812c8d45b358fa64dc82d9f638c787327bf36084ed462e7a06651
c007,W2-short-qos5555,b4-target-0-003,0.47039860486984253,0.06610638229846953,"[0.26837557554244995, 0.25136417150497437, 0.24770696461200714, 0.23255328834056854]",624506888,fresh_confirmation,0.3,"[0.0, 0.04333761232349165, 0.0, 0.22621895883177956]",0.22621895883177956,"[21313, 19476, 15021, 12122]",False,94.83580726451116,runs/vnext_originals/late_passing_candidates_six_confirmations/results.json,3,a9519c06743f09e3a811f69a5e3fb8fce01b22056a0b1af0f4c20b1b285cb49d
c007,W2-short-qos5555,b4-target-0-003,0.47039860486984253,0.06610638229846953,"[0.26837557554244995, 0.25136417150497437, 0.24770696461200714, 0.23255328834056854]",144392579,fresh_confirmation,0.29,"[0.0, 0.0001557713276909567, 0.0, 0.24034015852047552]",0.24034015852047552,"[21460, 19260, 14945, 12113]",False,94.26101726145491,runs/vnext_originals/late_passing_candidates_six_confirmations/results.json,4,a9519c06743f09e3a811f69a5e3fb8fce01b22056a0b1af0f4c20b1b285cb49d
c007,W2-short-qos5555,b4-target-0-003,0.47039860486984253,0.06610638229846953,"[0.26837557554244995, 0.25136417150497437, 0.24770696461200714, 0.23255328834056854]",1004088181,fresh_confirmation,0.293,"[0.0, 0.0, 0.0, 0.24219009637753408]",0.24219009637753408,"[21384, 19130, 14804, 12037]",False,94.40510158157987,runs/vnext_originals/late_passing_candidates_six_confirmations/results.json,5,a9519c06743f09e3a811f69a5e3fb8fce01b22056a0b1af0f4c20b1b285cb49d
