workload,server_count,utilization,arrival_seed,search_runtime_seed,episode_path,max_search_calls,max_final_checks
W1-train-qos3333,250,0.6,65583180,3122970382,W1-train-qos3333/N250_U0.6,32,3
W1-train-qos3333,250,0.8,65583180,3122970382,W1-train-qos3333/N250_U0.8,32,3
W1-train-qos3333,1000,0.6,65583180,3122970382,W1-train-qos3333/N1000_U0.6,32,3
W1-train-qos3333,1000,0.8,65583180,3122970382,W1-train-qos3333/N1000_U0.8,32,3
W1-train-qos4444,250,0.6,65583180,3122970382,W1-train-qos4444/N250_U0.6,32,3
W1-train-qos4444,250,0.8,65583180,3122970382,W1-train-qos4444/N250_U0.8,32,3
W1-train-qos4444,1000,0.6,65583180,3122970382,W1-train-qos4444/N1000_U0.6,32,3
W1-train-qos4444,1000,0.8,65583180,3122970382,W1-train-qos4444/N1000_U0.8,32,3
W2-short-qos5_4.5_4_3.5,250,0.6,65583180,3122970382,W2-short-qos5_4.5_4_3.5/N250_U0.6,32,3
W2-short-qos5_4.5_4_3.5,250,0.8,65583180,3122970382,W2-short-qos5_4.5_4_3.5/N250_U0.8,32,3
W2-short-qos5_4.5_4_3.5,1000,0.6,65583180,3122970382,W2-short-qos5_4.5_4_3.5/N1000_U0.6,32,3
W2-short-qos5_4.5_4_3.5,1000,0.8,65583180,3122970382,W2-short-qos5_4.5_4_3.5/N1000_U0.8,32,3
W2-short-qos5555,250,0.6,65583180,3122970382,W2-short-qos5555/N250_U0.6,32,3
W2-short-qos5555,250,0.8,65583180,3122970382,W2-short-qos5555/N250_U0.8,32,3
W2-short-qos5555,1000,0.6,65583180,3122970382,W2-short-qos5555/N1000_U0.6,32,3
W2-short-qos5555,1000,0.8,65583180,3122970382,W2-short-qos5555/N1000_U0.8,32,3
