case_id,phase,tier,workload,category,J,bank_id,method,N,U,scenario_seed,confirmation_seeds,candidate_bank_seed,starts,iterations,search_budget,max_workers,weight_policy
c000,0,ENGINEERING_SMOKE,W1-train-qos3333,ORIGINAL_W1,4,90b1399a478d6d360967a2f20cf5e3df68f6edaf9d8345895962fc0fae700203,v3_only,1000,0.6,466917983,"[3741866483, 2030875217]",300000,4,4,1,4,fixed
c000,0,ENGINEERING_SMOKE,W1-train-qos3333,ORIGINAL_W1,4,90b1399a478d6d360967a2f20cf5e3df68f6edaf9d8345895962fc0fae700203,v3_fixed_probing,1000,0.6,466917983,"[3741866483, 2030875217]",300000,4,4,4,4,fixed
c000,0,ENGINEERING_SMOKE,W1-train-qos3333,ORIGINAL_W1,4,90b1399a478d6d360967a2f20cf5e3df68f6edaf9d8345895962fc0fae700203,simulator_only_adaptive,1000,0.6,466917983,"[3741866483, 2030875217]",300000,0,0,4,4,fixed
c000,0,ENGINEERING_SMOKE,W1-train-qos3333,ORIGINAL_W1,4,90b1399a478d6d360967a2f20cf5e3df68f6edaf9d8345895962fc0fae700203,argos_fixed_budget,1000,0.6,466917983,"[3741866483, 2030875217]",300000,4,4,4,4,fixed
c000,0,ENGINEERING_SMOKE,W1-train-qos3333,ORIGINAL_W1,4,90b1399a478d6d360967a2f20cf5e3df68f6edaf9d8345895962fc0fae700203,argos_early_stop,1000,0.6,466917983,"[3741866483, 2030875217]",300000,4,4,4,4,fixed
c001,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,2b9558554714b80c6820ff164d53f1b9612f258ad97c2ecea0fc0b5463ef728b,v3_only,1000,0.6,3105345885,"[2523613624, 1483264288]",300001,512,1500,1,4,fixed
c001,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,2b9558554714b80c6820ff164d53f1b9612f258ad97c2ecea0fc0b5463ef728b,v3_fixed_probing,1000,0.6,3105345885,"[2523613624, 1483264288]",300001,512,1500,32,4,fixed
c001,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,2b9558554714b80c6820ff164d53f1b9612f258ad97c2ecea0fc0b5463ef728b,simulator_only_adaptive,1000,0.6,3105345885,"[2523613624, 1483264288]",300001,0,0,32,4,fixed
c001,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,2b9558554714b80c6820ff164d53f1b9612f258ad97c2ecea0fc0b5463ef728b,argos_fixed_budget,1000,0.6,3105345885,"[2523613624, 1483264288]",300001,512,1500,32,4,fixed
c001,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,2b9558554714b80c6820ff164d53f1b9612f258ad97c2ecea0fc0b5463ef728b,argos_early_stop,1000,0.6,3105345885,"[2523613624, 1483264288]",300001,512,1500,32,4,fixed
c002,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,9edb9a92196d467c124194b015b1a3594f6beddde118c2d0d2d772e55e677f60,v3_only,1000,0.8,4222096843,"[2534618820, 1854566911]",300002,512,1500,1,4,fixed
c002,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,9edb9a92196d467c124194b015b1a3594f6beddde118c2d0d2d772e55e677f60,v3_fixed_probing,1000,0.8,4222096843,"[2534618820, 1854566911]",300002,512,1500,32,4,fixed
c002,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,9edb9a92196d467c124194b015b1a3594f6beddde118c2d0d2d772e55e677f60,simulator_only_adaptive,1000,0.8,4222096843,"[2534618820, 1854566911]",300002,0,0,32,4,fixed
c002,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,9edb9a92196d467c124194b015b1a3594f6beddde118c2d0d2d772e55e677f60,argos_fixed_budget,1000,0.8,4222096843,"[2534618820, 1854566911]",300002,512,1500,32,4,fixed
c002,1,SERIOUS_DEVELOPMENT,W1-train-qos3333,ORIGINAL_W1,4,9edb9a92196d467c124194b015b1a3594f6beddde118c2d0d2d772e55e677f60,argos_early_stop,1000,0.8,4222096843,"[2534618820, 1854566911]",300002,512,1500,32,4,fixed
c003,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,9d86e128d392f392a648154e0ab13132d8c7fed11f3432838f599361293bc932,v3_only,1000,0.6,2607831177,"[1761995179, 1837503171]",300003,512,1500,1,4,fixed
c003,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,9d86e128d392f392a648154e0ab13132d8c7fed11f3432838f599361293bc932,v3_fixed_probing,1000,0.6,2607831177,"[1761995179, 1837503171]",300003,512,1500,32,4,fixed
c003,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,9d86e128d392f392a648154e0ab13132d8c7fed11f3432838f599361293bc932,simulator_only_adaptive,1000,0.6,2607831177,"[1761995179, 1837503171]",300003,0,0,32,4,fixed
c003,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,9d86e128d392f392a648154e0ab13132d8c7fed11f3432838f599361293bc932,argos_fixed_budget,1000,0.6,2607831177,"[1761995179, 1837503171]",300003,512,1500,32,4,fixed
c003,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,9d86e128d392f392a648154e0ab13132d8c7fed11f3432838f599361293bc932,argos_early_stop,1000,0.6,2607831177,"[1761995179, 1837503171]",300003,512,1500,32,4,fixed
c004,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,b351ddd5620b20f241a66f03f6500e9d79deea68f494133c7382b3ac191ad0b5,v3_only,1000,0.8,1607627967,"[1164121249, 3893736741]",300004,512,1500,1,4,fixed
c004,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,b351ddd5620b20f241a66f03f6500e9d79deea68f494133c7382b3ac191ad0b5,v3_fixed_probing,1000,0.8,1607627967,"[1164121249, 3893736741]",300004,512,1500,32,4,fixed
c004,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,b351ddd5620b20f241a66f03f6500e9d79deea68f494133c7382b3ac191ad0b5,simulator_only_adaptive,1000,0.8,1607627967,"[1164121249, 3893736741]",300004,0,0,32,4,fixed
c004,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,b351ddd5620b20f241a66f03f6500e9d79deea68f494133c7382b3ac191ad0b5,argos_fixed_budget,1000,0.8,1607627967,"[1164121249, 3893736741]",300004,512,1500,32,4,fixed
c004,1,SERIOUS_DEVELOPMENT,W1-train-qos4444,ORIGINAL_W1,4,b351ddd5620b20f241a66f03f6500e9d79deea68f494133c7382b3ac191ad0b5,argos_early_stop,1000,0.8,1607627967,"[1164121249, 3893736741]",300004,512,1500,32,4,fixed
c005,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,28fb1dbb87b66cb24a675f44d65513d539734cb7ea9063c49476d8f01f2dec9e,v3_only,1000,0.6,3335555103,"[1724203793, 2381187650]",300005,512,1500,1,4,fixed
c005,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,28fb1dbb87b66cb24a675f44d65513d539734cb7ea9063c49476d8f01f2dec9e,v3_fixed_probing,1000,0.6,3335555103,"[1724203793, 2381187650]",300005,512,1500,32,4,fixed
c005,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,28fb1dbb87b66cb24a675f44d65513d539734cb7ea9063c49476d8f01f2dec9e,simulator_only_adaptive,1000,0.6,3335555103,"[1724203793, 2381187650]",300005,0,0,32,4,fixed
c005,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,28fb1dbb87b66cb24a675f44d65513d539734cb7ea9063c49476d8f01f2dec9e,argos_fixed_budget,1000,0.6,3335555103,"[1724203793, 2381187650]",300005,512,1500,32,4,fixed
c005,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,28fb1dbb87b66cb24a675f44d65513d539734cb7ea9063c49476d8f01f2dec9e,argos_early_stop,1000,0.6,3335555103,"[1724203793, 2381187650]",300005,512,1500,32,4,fixed
c006,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,03e1dc202a615c0a6538166f56dda9e16c20110e9f3086b92006665b70da8737,v3_only,1000,0.8,1719353801,"[15226742, 3057023020]",300006,512,1500,1,4,fixed
c006,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,03e1dc202a615c0a6538166f56dda9e16c20110e9f3086b92006665b70da8737,v3_fixed_probing,1000,0.8,1719353801,"[15226742, 3057023020]",300006,512,1500,32,4,fixed
c006,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,03e1dc202a615c0a6538166f56dda9e16c20110e9f3086b92006665b70da8737,simulator_only_adaptive,1000,0.8,1719353801,"[15226742, 3057023020]",300006,0,0,32,4,fixed
c006,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,03e1dc202a615c0a6538166f56dda9e16c20110e9f3086b92006665b70da8737,argos_fixed_budget,1000,0.8,1719353801,"[15226742, 3057023020]",300006,512,1500,32,4,fixed
c006,1,SERIOUS_DEVELOPMENT,W2-short-qos5_4.5_4_3.5,ORIGINAL_W2,4,03e1dc202a615c0a6538166f56dda9e16c20110e9f3086b92006665b70da8737,argos_early_stop,1000,0.8,1719353801,"[15226742, 3057023020]",300006,512,1500,32,4,fixed
c007,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,e6a6d8d4a2811ea7ba1de9c49f82d61b07f1d2feb0d5db73f5fc59ef90d8def8,v3_only,1000,0.6,2166014542,"[286413294, 2621783785]",300007,512,1500,1,4,fixed
c007,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,e6a6d8d4a2811ea7ba1de9c49f82d61b07f1d2feb0d5db73f5fc59ef90d8def8,v3_fixed_probing,1000,0.6,2166014542,"[286413294, 2621783785]",300007,512,1500,32,4,fixed
c007,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,e6a6d8d4a2811ea7ba1de9c49f82d61b07f1d2feb0d5db73f5fc59ef90d8def8,simulator_only_adaptive,1000,0.6,2166014542,"[286413294, 2621783785]",300007,0,0,32,4,fixed
c007,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,e6a6d8d4a2811ea7ba1de9c49f82d61b07f1d2feb0d5db73f5fc59ef90d8def8,argos_fixed_budget,1000,0.6,2166014542,"[286413294, 2621783785]",300007,512,1500,32,4,fixed
c007,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,e6a6d8d4a2811ea7ba1de9c49f82d61b07f1d2feb0d5db73f5fc59ef90d8def8,argos_early_stop,1000,0.6,2166014542,"[286413294, 2621783785]",300007,512,1500,32,4,fixed
c008,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,6649b1b0b3fcb7375fee87d068965398e41f3191c8df004f624914c10f272a42,v3_only,1000,0.8,3629940106,"[2238113419, 367509909]",300008,512,1500,1,4,fixed
c008,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,6649b1b0b3fcb7375fee87d068965398e41f3191c8df004f624914c10f272a42,v3_fixed_probing,1000,0.8,3629940106,"[2238113419, 367509909]",300008,512,1500,32,4,fixed
c008,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,6649b1b0b3fcb7375fee87d068965398e41f3191c8df004f624914c10f272a42,simulator_only_adaptive,1000,0.8,3629940106,"[2238113419, 367509909]",300008,0,0,32,4,fixed
c008,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,6649b1b0b3fcb7375fee87d068965398e41f3191c8df004f624914c10f272a42,argos_fixed_budget,1000,0.8,3629940106,"[2238113419, 367509909]",300008,512,1500,32,4,fixed
c008,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,6649b1b0b3fcb7375fee87d068965398e41f3191c8df004f624914c10f272a42,argos_early_stop,1000,0.8,3629940106,"[2238113419, 367509909]",300008,512,1500,32,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,v3_only,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,1,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,v3_fixed_probing,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,16,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,simulator_only_adaptive,1000,0.6,786185295,"[1877359141, 2108440999]",300009,0,0,16,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,argos_fixed_budget,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,16,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,argos_early_stop,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,v3_only,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,1,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,v3_fixed_probing,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,simulator_only_adaptive,1000,0.6,132059925,"[710399503, 1322971793]",300010,0,0,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,argos_fixed_budget,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,16,4,fixed
