case_id,method,kind,details
c002,v3_only,NO_BID,V3_NO_SAFE_ENDPOINT
c004,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c005,v3_only,CONFIRMATION_FAILURE,CONFIRMATION_PARTIAL_PASS
c005,v3_fixed_probing,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c005,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c005,argos_fixed_budget,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c005,argos_early_stop,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c006,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c006,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c006,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c006,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c006,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c007,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c007,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c008,v3_only,CONFIRMATION_FAILURE,CONFIRMATION_PARTIAL_PASS
c008,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c008,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c008,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c008,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c009,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c009,v3_fixed_probing,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c009,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c009,argos_fixed_budget,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c009,argos_early_stop,CONFIRMATION_FAILURE,CONFIRMATION_NONE_PASS
c010,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c010,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c010,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c010,argos_fixed_budget,NO_BID,HARD_MAX_SEARCH_CALLS
c010,argos_early_stop,NO_BID,HARD_MAX_SEARCH_CALLS
c011,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c011,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
c012,v3_only,NO_BID,V3_SELECTED_POINT_NOT_QUALIFIED
c012,v3_fixed_probing,NO_BID,HARD_MAX_SEARCH_CALLS
c012,simulator_only_adaptive,NO_BID,HARD_MAX_SEARCH_CALLS
