case_id,tier,fixed_calls,early_calls,saved_calls,same_selected_candidate,early_stop_reason
c000,ENGINEERING_SMOKE,4,4,0,True,HARD_MAX_SEARCH_CALLS
c001,SERIOUS_DEVELOPMENT,32,16,16,True,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
c002,SERIOUS_DEVELOPMENT,32,24,8,True,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
c003,SERIOUS_DEVELOPMENT,32,16,16,True,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
c004,SERIOUS_DEVELOPMENT,32,16,16,False,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
c005,SERIOUS_DEVELOPMENT,32,16,16,True,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
c006,SERIOUS_DEVELOPMENT,32,32,0,True,HARD_MAX_SEARCH_CALLS
c007,SERIOUS_DEVELOPMENT,32,16,16,True,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
c008,SERIOUS_DEVELOPMENT,32,32,0,True,HARD_MAX_SEARCH_CALLS
c009,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c010,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c011,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c012,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c013,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c014,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c015,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c016,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c017,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c018,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c019,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c020,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c021,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c022,SCREENING,16,16,0,True,HARD_MAX_SEARCH_CALLS
c023,SERIOUS_DEVELOPMENT,32,16,16,False,EARLY_STOP_QUALIFIED_LOCAL_PATIENCE
