tier,method,source,v3_origin,count
ENGINEERING_SMOKE,v3_only,v3_endpoint,V3 endpoint,1
ENGINEERING_SMOKE,v3_fixed_probing,initial_v3_region_representative,V3 endpoint,1
ENGINEERING_SMOKE,simulator_only_adaptive,local_refinement,local,1
ENGINEERING_SMOKE,argos_fixed_budget,initial_v3_region_representative,V3 endpoint,1
ENGINEERING_SMOKE,argos_early_stop,initial_v3_region_representative,V3 endpoint,1
SERIOUS_DEVELOPMENT,v3_only,v3_endpoint,V3 endpoint,4
SERIOUS_DEVELOPMENT,v3_fixed_probing,initial_v3_region_representative,V3 endpoint,2
SERIOUS_DEVELOPMENT,simulator_only_adaptive,independent_exploration,independent,2
SERIOUS_DEVELOPMENT,argos_fixed_budget,initial_v3_region_representative,V3 endpoint,2
SERIOUS_DEVELOPMENT,argos_early_stop,initial_v3_region_representative,V3 endpoint,2
SERIOUS_DEVELOPMENT,v3_fixed_probing,independent_exploration,independent,1
SERIOUS_DEVELOPMENT,simulator_only_adaptive,local_refinement,local,2
SERIOUS_DEVELOPMENT,argos_fixed_budget,local_refinement,local,3
SERIOUS_DEVELOPMENT,argos_early_stop,local_refinement,local,1
SERIOUS_DEVELOPMENT,v3_fixed_probing,local_refinement,local,1
SERIOUS_DEVELOPMENT,argos_early_stop,initial_v3_region_representative,V3 snapshot,4
SERIOUS_DEVELOPMENT,v3_fixed_probing,initial_v3_region_representative,V3 snapshot,3
SERIOUS_DEVELOPMENT,argos_fixed_budget,initial_v3_region_representative,V3 snapshot,2
SCREENING,v3_fixed_probing,initial_v3_region_representative,V3 snapshot,5
SCREENING,argos_fixed_budget,initial_v3_region_representative,V3 snapshot,5
SCREENING,argos_early_stop,initial_v3_region_representative,V3 snapshot,5
SCREENING,v3_fixed_probing,local_refinement,local,1
SCREENING,simulator_only_adaptive,independent_exploration,independent,1
