case,workload,U,method,phase,search_qualified,search_robust,first_qualified_call,search_calls,unique_geometries,repeat_calls,confirmation_passes,confirmation_count,selected_objective,winner_source,bank_seconds
c005,W2-short-qos5_4.5_4_3.5,0.6,E,DONE,True,False,1.0,32,32,0,0,3,87.58133058279736,protected_v3_elite,321.6049806000083
c005,W2-short-qos5_4.5_4_3.5,0.6,ER,NO_BID,True,False,1.0,32,29,3,0,0,,,321.6049806000083
c005,W2-short-qos5_4.5_4_3.5,0.6,ERT,NO_BID,True,False,1.0,32,26,6,0,0,,,321.6049806000083
c005,W2-short-qos5_4.5_4_3.5,0.6,H1,NO_BID,False,False,,32,32,0,0,0,,,321.6049806000083
c006,W2-short-qos5_4.5_4_3.5,0.8,E,NO_BID,False,False,,32,32,0,0,0,,,293.531367699994
c006,W2-short-qos5_4.5_4_3.5,0.8,ER,NO_BID,False,False,,32,31,1,0,0,,,293.531367699994
c006,W2-short-qos5_4.5_4_3.5,0.8,ERT,DONE,True,True,19.0,32,29,3,3,3,102.55942071129337,local,293.531367699994
c006,W2-short-qos5_4.5_4_3.5,0.8,H1,NO_BID,False,False,,32,32,0,0,0,,,293.531367699994
c007,W2-short-qos5555,0.6,E,DONE,True,False,17.0,32,32,0,1,3,91.25646799152533,V3 snapshot,294.91170270000293
c007,W2-short-qos5555,0.6,ER,NO_BID,True,False,17.0,32,30,2,0,0,,,294.91170270000293
c007,W2-short-qos5555,0.6,ERT,NO_BID,True,False,17.0,32,29,3,0,0,,,294.91170270000293
c007,W2-short-qos5555,0.6,H1,DONE,True,False,6.0,32,32,0,1,3,91.25646799152533,V3 snapshot,294.91170270000293
c008,W2-short-qos5555,0.8,E,NO_BID,False,False,,32,32,0,0,0,,,300.65725970000494
c008,W2-short-qos5555,0.8,ER,NO_BID,False,False,,32,32,0,0,0,,,300.65725970000494
c008,W2-short-qos5555,0.8,ERT,DONE,True,True,21.0,32,31,1,3,3,100.40788863758672,local,300.65725970000494
c008,W2-short-qos5555,0.8,H1,NO_BID,False,False,,32,32,0,0,0,,,300.65725970000494
