candidate_id,Pbar,R,weights,source,start_id,iteration,region_id,seed,phase,batch,status,valid,runtime_seconds,actual_p90,actual_pj,actual_objective,predicted_p90,predicted_pj,predicted_objective
v3-1500-0265,0.3663828670978546,0.21973192691802979,"[0.44971099495887756, 0.16020098328590393, 0.16323329508304596, 0.22685472667217255]",V3 endpoint,265.0,1500.0,region-01,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,11.437429800000245,0.006,"[0.0, 0.0, 0.0, 0.0]",62.603871176479714,0.006301378831267357,"[0.04609373211860657, 3.522918063936231e-07, 1.6782166767370654e-06, 1.4663459069197415e-07]",63.49641799926758
v3-0000-0270,0.5370670557022095,0.28954964876174927,"[0.3340052366256714, 0.1936795860528946, 0.2750767767429352, 0.19723841547966003]",V3 snapshot,270.0,0.0,region-02,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,11.910496899999998,0.216,"[0.07106274007682467, 0.0, 0.0, 0.0]",75.27260508898158,0.22778059542179108,"[0.06459479033946991, 7.062899154419711e-10, 1.0250406745626606e-08, 9.825249988604234e-12]",75.1590576171875
v3-0000-0276,0.5531089305877686,0.12657296657562256,"[0.25426411628723145, 0.21595340967178345, 0.24811097979545593, 0.2816714942455292]",V3 snapshot,276.0,0.0,region-03,20,search,1,SIMULATOR_OBSERVED_INFEASIBLE,True,12.21451409999645,0.005,"[0.33738796414852756, 0.0, 0.0, 0.0]",97.79082204155218,0.004566660616546869,"[0.09924926608800888, 5.24063052068785e-13, 3.851782377751155e-14, 3.953015044916798e-20]",92.46342468261719
v3-0100-0210,0.48711344599723816,0.24862881004810333,"[0.35205429792404175, 0.1557217687368393, 0.17353563010692596, 0.3186882734298706]",V3 snapshot,210.0,100.0,region-04,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,12.410654200000863,0.005,"[0.0, 0.0, 0.0, 0.0]",71.78218428645023,0.00403241952881217,"[0.07121644914150238, 3.591951980297381e-08, 1.8011419911090343e-07, 3.7197286917312056e-10]",73.11359405517578
v3-0000-0226,0.5959427356719971,0.0879753902554512,"[0.3712807297706604, 0.2218068540096283, 0.22048839926719666, 0.18642401695251465]",V3 snapshot,226.0,0.0,region-05,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,11.665528900000936,0.119,"[0.0, 0.0, 0.0, 0.0]",99.57000864735275,0.20548897981643677,"[3.086976339697692e-14, 9.177253099478264e-23, 3.2376753904120483e-20, 6.384696617934646e-24]",99.69361877441406
v3-0550-0467,0.4780448377132416,0.1056160181760788,"[0.3587215840816498, 0.24316245317459106, 0.22053349018096924, 0.17758247256278992]",V3 snapshot,467.0,550.0,region-06,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,12.137155899999925,0.018,"[0.0, 0.0, 0.0, 0.0]",85.77164372270633,0.01610596664249897,"[1.475356566515984e-05, 1.0893028693685983e-13, 1.0750466072906306e-09, 9.261277319040986e-14]",85.89566802978516
b001-independent-0000,0.49436223559140646,0.0943339712654995,"[0.16735073033263195, 0.21117889795056427, 0.18680935499512677, 0.434661016721677]",independent,,,,20,search,1,SIMULATOR_OBSERVED_INFEASIBLE,True,12.202345500001684,0.006,"[0.6952624839948784, 0.0, 0.0, 0.0]",105.07968346335815,0.0065316627733409405,"[0.687112033367157, 5.314464424088783e-09, 2.242303480670671e-07, 3.2732374871945495e-15]",104.83319123665663
b001-independent-0001,0.5332826182232819,0.08347180965842875,"[0.17216378715824776, 0.23433182110579842, 0.28103602916321035, 0.31246836257274346]",independent,,,,20,search,1,SIMULATOR_OBSERVED_INFEASIBLE,True,12.228486399999383,0.007,"[0.6952624839948784, 0.0, 0.0, 0.0]",110.06013104392613,0.0050015500746667385,"[0.7005087733268738, 1.8942566265556238e-11, 3.0814086091762727e-12, 3.924698375217484e-17]",110.22094155233418
b002-local-0000,0.4229841540108522,0.252868388312135,"[0.43467029005988217, 0.15865390814288582, 0.17950374417518422, 0.22717205762204795]",local,,,region-01,20,search,2,SIMULATOR_OBSERVED_FEASIBLE,True,11.925759800000378,0.007,"[0.0, 0.0, 0.0, 0.0]",64.96315398888105,0.006716103758662939,"[0.011993832886219025, 4.1504687686710895e-08, 1.3728644887578412e-07, 6.574765620825929e-09]",65.19245580633248
b002-local-0001,0.49418102383639784,0.2739389623891312,"[0.33156524672899945, 0.15, 0.1916295487865397, 0.32680520448446104]",local,,,region-04,20,search,2,SIMULATOR_OBSERVED_INFEASIBLE,True,12.495055299998057,0.027,"[0.24327784891165172, 0.0, 0.0, 0.0]",75.13957108798547,0.02873210795223713,"[0.17574086785316467, 1.786520442692563e-07, 3.6072250964025443e-07, 1.7268223517774572e-09]",73.6392512542238
